name,sex
Ocie,F
Orilla,F
Osie,F
Pansy,F
Ray,F
Rosia,F
Rowena,F
Shirley,F
Tabitha,F
Thomas,F
Verdie,F
Walter,F
Zetta,F
Zoa,F
Zona,F
Albertina,F
Albina,F
Alyce,F
Amie,F
Angela,F
Annis,F
Carol,F
Carra,F
Clarence,F
Clarinda,F
Delphia,F
Dillie,F
Doshie,F
Drucilla,F
Etna,F
Eugenie,F
Eulalia,F
Eve,F
Felicia,F
Florance,F
Fronie,F
Geraldine,F
Gina,F
Glenna,F
Grayce,F
Hedwig,F
Jessica,F
Jossie,F
Katheryn,F
Katy,F
Lea,F
Leanna,F
Leitha,F
Leone,F
Lidie,F
Loma,F
Lular,F
Magdalen,F
Maymie,F
Minervia,F
Muriel,F
Neppie,F
Olie,F
Onie,F
Osa,F
Otelia,F
Paralee,F
Patience,F
Rella,F
Rillie,F
Rosanna,F
Theo,F
Tilda,F
Tishie,F
Tressa,F
Viva,F
Yetta,F
Zena,F
Zola,F
Abby,F
Aileen,F
Alba,F
Alda,F
Alla,F
Alverta,F
Ara,F
Ardelia,F
Ardella,F
Arrie,F
Arvilla,F
Augustine,F
Aurora,F
Bama,F
Bena,F
Byrd,F
Calla,F
Camilla,F
Carey,F
Carlotta,F
Celestia,F
Cherry,F
Cinda,F
Classie,F
Claudine,F
Clemie,F
Clifford,F
Clyda,F
Creola,F
Debbie,F
Dee,F
Dinah,F
Doshia,F
Ednah,F
Edyth,F
Eleanora,F
Electa,F
Eola,F
Erie,F
Eudora,F
Euphemia,F
Evalena,F
Evaline,F
Faith,F
Fidelia,F
Freddie,F
Golda,F
Harry,F
Helma,F
Hermine,F
Hessie,F
Ivah,F
Janette,F
Jennette,F
Joella,F
Kathryne,F
Lacy,F
Lanie,F
Lauretta,F
Leana,F
Leatha,F
Leo,F
Liller,F
Lillis,F
Louetta,F
Madie,F
Mai,F
Martina,F
Maryann,F
Melva,F
Mena,F
Mercedes,F
Merle,F
Mima,F
Minda,F
Monica,F
Nealie,F
Netta,F
Nolia,F
Nonie,F
Odelia,F
Ottilie,F
Phyllis,F
Robbie,F
Sabina,F
Sada,F
Sammie,F
Suzanne,F
Sybilla,F
Thea,F
Tressie,F
Vallie,F
Venie,F
Viney,F
Wilhelmine,F
Winona,F
Zelda,F
Zilpha,F
Adelle,F
Adina,F
Adrienne,F
Albertine,F
Alys,F
Ana,F
Araminta,F
Arthur,F
Birtha,F
Bulah,F
Caddie,F
Celie,F
Charlotta,F
Clair,F
Concepcion,F
Cordella,F
Corrine,F
Delila,F
Delphine,F
Dosha,F
Edgar,F
Elaine,F
Elisa,F
Ellar,F
Elmire,F
Elvina,F
Ena,F
Estie,F
Etter,F
Fronnie,F
Genie,F
Georgina,F
Glenn,F
Gracia,F
Guadalupe,F
Gwendolyn,F
Hassie,F
Honora,F
Icy,F
Isa,F
Isadora,F
Jesse,F
Jewel,F
Joe,F
Johannah,F
Juana,F
Judith,F
Judy,F
Junie,F
Lavonia,F
Lella,F
Lemma,F
Letty,F
Linna,F
Littie,F
Lollie,F
Lorene,F
Louis,F
Love,F
Lovisa,F
Lucina,F
Lynn,F
Madora,F
Mahalia,F
Manervia,F
Manuela,F
Margarett,F
Margaretta,F
Margarita,F
Marilla,F
Mignon,F
Mozella,F
Natalie,F
Nelia,F
Nolie,F
Omie,F
Opal,F
Ossie,F
Ottie,F
Ottilia,F
Parthenia,F
Penelope,F
Pinkey,F
Pollie,F
Rennie,F
Reta,F
Roena,F
Rosalee,F
Roseanna,F
Ruthie,F
Sabra,F
Sannie,F
Selena,F
Sibyl,F
Tella,F
Tempie,F
Tennessee,F
Teressa,F
Texas,F
Theda,F
Thelma,F
Thursa,F
Ula,F
Vannie,F
Verona,F
Vertie,F
Wilma,F
Edward,M
Albert,M
Samuel,M
David,M
Charlie,M
Richard,M
Andrew,M
Daniel,M
Ernest,M
Will,M
Oscar,M
Lewis,M
Peter,M
Benjamin,M
Frederick,M
Alfred,M
Sam,M
Roy,M
Herbert,M
Jacob,M
Tom,M
Elmer,M
Carl,M
Howard,M
Martin,M
Michael,M
Bert,M
Herman,M
Jim,M
Harvey,M
Earl,M
Eugene,M
Ralph,M
Ed,M
Edwin,M
Ben,M
Charley,M
Paul,M
Isaac,M
Otto,M
Luther,M
Lawrence,M
Patrick,M
Guy,M
Oliver,M
Theodore,M
Hugh,M
Alexander,M
August,M
Floyd,M
Homer,M
Jack,M
Leonard,M
Horace,M
Philip,M
Allen,M
Archie,M
Stephen,M
Chester,M
Willis,M
Raymond,M
Rufus,M
Warren,M
Milton,M
Alex,M
Julius,M
Bernard,M
Dan,M
Jerry,M
Calvin,M
Perry,M
Dave,M
Anthony,M
Amos,M
Dennis,M
Leroy,M
Wesley,M
Alonzo,M
Garfield,M
Franklin,M
Emil,M
Leon,M
Nathan,M
Harold,M
Matthew,M
Levi,M
Moses,M
Everett,M
Lester,M
Winfield,M
Adam,M
Lloyd,M
Mack,M
